id,year,type,question
1,2015,MCQ,A Network Topology that always uses central server is? | Bus | Star | Ring | Hybrid
2,2015,MCQ,FM stands for? | Frequent Modulation | Frequency Modification | Functional Module | Frequency Modulation
3,2015,MCQ,Daisy wheel is a type of? | Tape | Printer | Scanner | Disk
4,2015,MCQ,1 Giga Byte (GB) is equivalent to? | 1024 Bytes | 1024 KB | 1024 MB | 1024 TB
5,2015,MCQ,The full form of SIMM is? | Single Interfacing Memory Module | Simple Inline Memory Module | Single Inline Memory Module | Simple Inline Memory Mode
6,2015,MCQ,The set of rules to send and receive data is called? | Ethernet | Register | Protocol | Bus
7,2015,MCQ,The electrical path that carries data from one place to another place is called? | Bus | Modem | SIMM | DIMM
8,2015,MCQ,Co-axial cable and fibre optics are the examples of? | Router | Modem | Communication Media | Communication Mode
9,2015,MCQ,The process of converting analog signal into digital signal is called? | Modulation | Telecommunication | Demodulation | Compilation
10,2015,MCQ,A mode of communication that allows two way communication but not simultaneously is called? | Full duplex | Half duplex | Half simplex | Simplex
11,2015,MCQ,Extension of Microsoft Excel file is? | .doc | .xls | .bmp | .ppt
12,2015,MCQ,This is an antivirus program? | Internet Explorer | Torjan | Worm | McAfee
13,2015,MCQ,This part of CPU performs all arithmetic and logic operations? | CU | MU | ALU | ROM
14,2015,MCQ,A software that enables user to interact with computer hardware is called? | Operating system | Database | Application software | Firmware
15,2015,MCQ,This MS-Excel formula adds the contents of given cells A1:A5? | Count(A1:A5) | SUM(A1:A5) | AVG(A1:A25) | A1+A5
16,2015,Short,What is the function of MODEM? Define different types of MODEM.
17,2015,Short,What is Computer Virus? Define different types of Virus.
18,2015,Short,What are the functions of Router and Gateway in Data Communication?
19,2015,Short,What is Internet? Define its components.
20,2015,Short,Write the full form of the following: HTML & ISO & IEEE & WAN & HTTP & ASCII
21,2015,Short,Define the following: Bus & Cache Memory & Bar Code Reader
22,2015,Short,Differentiate between Volatile Memory and Non-volatile Memory.
23,2015,Short,Define Simplex & Half-duplex and Full-duplex modes of Data Communication.
24,2015,Short,What is Operating System? Why is it necessary for a computer system?
25,2015,Long,Explain any four LAN Topologies.
26,2015,Long,What do you mean by Protocol? Define any two types of Protocol.
27,2015,Long,What are Registers? Write the functions of any three Registers.
28,2015,Long,Explain Synchronous Transmission and Asynchronous Transmission.
29,2015,Long,Explain the different types of Impact Printers.
30,2015,Long,Describe the advantages and disadvantages of Fiber Optic Cable.
31,2016,MCQ,A Compiler is a/an? | Language translator program | Part of a computer | Source program | Object program
32,2016,MCQ,Data transmission in both directions simultaneously is? | Simplex | Half duplex | Full duplex | Synchronous
33,2016,MCQ,This term is used to describe the data handling capacity of a given media? | Buffer | Routing | Bandwidth | Cache
34,2016,MCQ,Bar code reader is an example of? | Processing device | Input device | Output device | Storage device
